作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL	順位スコア
000351	業平文治漂流奇談	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/351_ruby.zip	0
000353	政談月の鏡	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/353_ruby_3751.zip	0
000354	闇夜の梅	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/354_ruby_3752.zip	0
000357	外套	ゴーゴリ	ニコライ	新字新仮名	NDC 983	https://www.aozora.gr.jp/cards/000207/files/357_ruby_22445.zip	2002
000358	画家とセリセリス	南部	修太郎	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000048/files/358_ruby_21368.zip	0
000360	外科室	泉	鏡花	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000050/files/360_ruby_434.zip	40539
000361	幻談	幸田	露伴	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000051/files/361_ruby_3948.zip	0
000369	母となる	福田	英子	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000057/files/369_ruby_18840.zip	0
000372	鼻	ゴーゴリ	ニコライ	新字新仮名	NDC 983	https://www.aozora.gr.jp/cards/000207/files/372_ruby_22447.zip	0
000373	花嫁の訂正	渡辺	温	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000020/files/373_ruby_29381.zip	0
000376	ハルピンの一夜	南部	修太郎	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000048/files/376_ruby_3331.zip	0
000377	国語音韻の変遷	橋本	進吉	新字新仮名	NDC 811	https://www.aozora.gr.jp/cards/000061/files/377_ruby_2753.zip	0
000378	雛鳥の夢	素木	しづ	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/378_ruby_20972.zip	0
000379	氷雨	葉山	嘉樹	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000031/files/379_ruby_21679.zip	0
000380	放浪	織田	作之助	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000040/files/380_ruby_2698.zip	0
000382	私は懐疑派だ	二葉亭	四迷	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000006/files/382_ruby_22429.zip	0
000383	予が半生の懺悔	二葉亭	四迷	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000006/files/383_ruby_22434.zip	0
000384	余が翻訳の標準	二葉亭	四迷	新字新仮名	NDC 801	https://www.aozora.gr.jp/cards/000006/files/384_ruby_22427.zip	0
000385	一円本流行の害毒と其裏面談	宮武	外骨	新字新仮名	NDC 023 914	https://www.aozora.gr.jp/cards/000063/files/385_ruby_2182.zip	0
000387	にごりえ	樋口	一葉	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000064/files/387_ruby_15292.zip	6582
000389	たけくらべ	樋口	一葉	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000064/files/389_ruby_15296.zip	43039
000393	「いき」の構造	九鬼	周造	新字新仮名	NDC 701	https://www.aozora.gr.jp/cards/000065/files/393_ruby_1764.zip	10341
000396	駒のいななき	橋本	進吉	新字新仮名	NDC 811	https://www.aozora.gr.jp/cards/000061/files/396_ruby_21657.zip	0
000397	淫売婦	葉山	嘉樹	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000031/files/397_ruby_21661.zip	0
000398	いのちの初夜	北条	民雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000997/files/398_ruby_2016.zip	309
000401	イワンとイワンの兄	渡辺	温	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000020/files/401_ruby_28317.zip	0
000405	自分のこと	南部	修太郎	旧字旧仮名	NDC 916	https://www.aozora.gr.jp/cards/000048/files/405_txt_21370.zip	0
000407	ジガ蜂	島木	健作	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000008/files/407_ruby_20885.zip	0
000408	陣中日誌（遺稿）	山中	貞雄	新字新仮名	NDC 916	https://www.aozora.gr.jp/cards/000072/files/408_ruby_3319.zip	0
000410	解剖室	三島	霜川	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000022/files/410_ruby_22624.zip	0
000411	愛撫	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/411_ruby_19632.zip	29014
000412	ある崖上の感情	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/412_ruby_19691.zip	0
000413	ある心の風景	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/413_ruby_19693.zip	0
000414	泥濘	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/414_ruby_19797.zip	0
000415	闇の絵巻	梶井	基次郎	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000074/files/415_ruby_19817.zip	0
000416	冬の蠅	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/416_ruby_19813.zip	0
000417	冬の日	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/417_ruby_19815.zip	0
000418	闇の書	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/418_ruby_922.zip	0
000419	Ｋの昇天	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/419_ruby_19701.zip	9583
000423	交尾	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/423_ruby_503.zip	91
000424	檸檬	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/424_ruby_19825.zip	67048
000427	桜の樹の下には	梶井	基次郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000074/files/427_ruby_19792.zip	45677
000433	上高地風景保護論	小島	烏水	新字新仮名	NDC 291 914	https://www.aozora.gr.jp/cards/000027/files/433_ruby_20733.zip	0
000435	かなしみの日より	素木	しづ	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/435_ruby_20960.zip	0
000449	本州横断　癇癪徒歩旅行	押川	春浪	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000077/files/449_ruby_2853.zip	0
000450	夏秋表	立原	道造	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000011/files/450_txt_21031.zip	0
000452	競馬	織田	作之助	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000040/files/452_ruby_291.zip	0
000453	計画	平出	修	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000080/files/453_ruby_420.zip	0
000456	銀河鉄道の夜	宮沢	賢治	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000081/files/456_ruby_145.zip	69283
000462	風の又三郎	宮沢	賢治	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000081/files/462_ruby_716.zip	60481
000464	猫の事務所	宮沢	賢治	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000081/files/464_ruby_19940.zip	31147
000466	オツベルと象	宮沢	賢治	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000081/files/466_ruby_1478.zip	47600
000470	セロ弾きのゴーシュ	宮沢	賢治	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000081/files/470_ruby_3987.zip	60619
000473	よだかの星	宮沢	賢治	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000081/files/473_ruby_467.zip	57458
000474	日本国憲法	日本国		新字旧仮名	NDC 323	https://www.aozora.gr.jp/cards/001528/files/474_txt.zip	24679
000496	恩讐の彼方に	菊池	寛	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000083/files/496_ruby_19865.zip	33327
000502	父帰る	菊池	寛	新字新仮名	NDC 912	https://www.aozora.gr.jp/cards/000083/files/502_ruby_19913.zip	3638
000507	木の都	織田	作之助	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000040/files/507_ruby_19625.zip	0
000508	霧の夜に	南部	修太郎	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000048/files/508_ruby_21401.zip	0
000510	古代国語の音韻に就いて	橋本	進吉	新字新仮名	NDC 811	https://www.aozora.gr.jp/cards/000061/files/510_ruby_2728.zip	0
000512	恋	渡辺	温	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000020/files/512_ruby_1376.zip	0
000513	工場の窓より	葉山	嘉樹	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000031/files/513_ruby_21701.zip	0
000515	国民性と文学	綱島	梁川	新字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000087/files/515_ruby_21303.zip	0
000517	子に与ふ	北	一輝	新字旧仮名	NDC 916	https://www.aozora.gr.jp/cards/000089/files/517_txt_20769.zip	0
000519	後世への最大遺物	内村	鑑三	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000034/files/519_ruby_2965.zip	1412
000521	高野聖	泉	鏡花	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000050/files/521_ruby_20582.zip	46410
000522	金色夜叉	尾崎	紅葉	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000091/files/522_ruby_3355.zip	60439
000523	高山の雪	小島	烏水	新字新仮名	NDC 291 914	https://www.aozora.gr.jp/cards/000027/files/523_ruby_2839.zip	0
000525	神社合祀に関する意見	南方	熊楠	新字新仮名	NDC 175	https://www.aozora.gr.jp/cards/000093/files/525_ruby_1904.zip	277
000526	十二支考	南方	熊楠	新字新仮名	NDC 388	https://www.aozora.gr.jp/cards/000093/files/526_ruby_5504.zip	593
000527	十二支考	南方	熊楠	新字新仮名	NDC 388	https://www.aozora.gr.jp/cards/000093/files/527_ruby_2159.zip	0
000530	黒猫	佐々木	直次郎	新字新仮名	NDC 933	https://www.aozora.gr.jp/cards/000094/files/530_ruby_20931.zip	60017
000531	あやかしの鼓	夢野	久作	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000096/files/531_ruby_736.zip	938
000538	舞姫	石橋	忍月	新字旧仮名	NDC 910	https://www.aozora.gr.jp/cards/000102/files/538_ruby_20592.zip	0
000539	万福追想	葉山	嘉樹	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000031/files/539_ruby_21681.zip	0
000541	職工と微笑	松永	延造	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000104/files/541_ruby_22552.zip	0
000542	貧しき信徒	八木	重吉	新字新仮名	NDC 911	https://www.aozora.gr.jp/cards/000013/files/542_ruby_471.zip	0
000545	夫婦善哉	織田	作之助	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000040/files/545_ruby_33101.zip	19685
000546	まざあ・ぐうす	北原	白秋	新字新仮名	NDC K931	https://www.aozora.gr.jp/cards/001529/files/546_ruby_21323.zip	21924
000549	ぶくぶく長々火の目小僧	鈴木	三重吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000107/files/549_ruby_20952.zip	0
000555	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/555_ruby_18948.zip	0
000556	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/556_ruby_19004.zip	0
000557	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/557_ruby_19518.zip	0
000558	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/558_ruby_18946.zip	0
000559	右門捕物帖	佐々木	味津三	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000111/files/559_ruby_18961.zip	0
