作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL
018338	田原藤太	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18338_ruby_13237.zip
018339	大江山	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18339_ruby_13234.zip
018340	羅生門	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18340_ruby_13244.zip
018341	八幡太郎	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18341_ruby_13240.zip
018342	鵺	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18342_ruby_13239.zip
018353	貧乏物語	河上	肇	新字新仮名	NDC 331	https://www.aozora.gr.jp/cards/000250/files/18353_ruby_28946.zip
018358	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/18358_ruby_17131.zip
018361	ベーシック英語	高田	力	旧字旧仮名	NDC 834	https://www.aozora.gr.jp/cards/001065/files/18361_ruby_31252.zip
018362	帝室論緒言	飯田	平作	旧字旧仮名	NDC 288	https://www.aozora.gr.jp/cards/001953/files/18362_ruby_72242.zip
018367	淡路人形座訪問	竹内	勝太郎	旧字旧仮名	NDC 777	https://www.aozora.gr.jp/cards/000636/files/18367_ruby_17024.zip
018368	防雪林	小林	多喜二	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000156/files/18368_ruby_23228.zip
018371	博物館	浜田	青陵	旧字旧仮名	NDC 069	https://www.aozora.gr.jp/cards/001054/files/18371_ruby_34702.zip
018375	やどなし犬	鈴木	三重吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000107/files/18375_ruby_14427.zip
018376	桃太郎	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18376_ruby_12074.zip
018377	かちかち山	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18377_ruby_11923.zip
018378	舌切りすずめ	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18378_ruby_12072.zip
018379	くらげのお使い	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18379_ruby_12073.zip
018414	「青白き夢」序	森田	草平	旧字旧仮名	NDC 913 914	https://www.aozora.gr.jp/cards/000826/files/18414_ruby_12053.zip
024344	瑪瑙盤	林	芙美子	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000291/files/24344_ruby_12032.zip
024345	「リラ」の女達	林	芙美子	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000291/files/24345_txt_12031.zip
024346	清修館挿話	林	芙美子	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000291/files/24346_txt_13997.zip
024347	朝夕	林	芙美子	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000291/files/24347_ruby_11342.zip
024349	小さい花	林	芙美子	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000291/files/24349_txt_11337.zip
024350	或る女	林	芙美子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000291/files/24350_ruby_13139.zip
024376	丹下左膳	林	不忘	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000290/files/24376_ruby_19087.zip
024377	丹下左膳	林	不忘	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000290/files/24377_ruby_19091.zip
024382	死せる魂	ゴーゴリ	ニコライ	新字新仮名	NDC 983	https://www.aozora.gr.jp/cards/000207/files/24382_ruby_59426.zip
024385	著者小伝	直木	三十五	旧字旧仮名	NDC 910 914	https://www.aozora.gr.jp/cards/000216/files/24385_txt_17003.zip
024386	長谷川時雨が卅歳若かつたら	直木	三十五	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000216/files/24386_ruby_10319.zip
024387	鞦韆考	原	勝郎	旧字旧仮名	NDC 384 781	https://www.aozora.gr.jp/cards/001037/files/24387_txt_10354.zip
024388	貢院の春	原	勝郎	旧字旧仮名	NDC 222	https://www.aozora.gr.jp/cards/001037/files/24388_txt_11010.zip
024438	盈虚	中島	敦	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000119/files/24438_ruby_11131.zip
024440	恋文	高田	保	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001073/files/24440_txt_15138.zip
024448	珠	素木	しづ	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/24448_ruby_11788.zip
024456	棄老伝説に就て	南方	熊楠	旧字旧仮名	NDC 388	https://www.aozora.gr.jp/cards/000093/files/24456_ruby_11349.zip
033200	幸福への道	素木	しづ	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/33200_ruby_11851.zip
033203	シンデレラ	水谷	まさる	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/001074/files/33203_ruby_12193.zip
033205	ジーキル博士とハイド氏の怪事件	佐々木	直次郎	新字新仮名	NDC 933	https://www.aozora.gr.jp/cards/000888/files/33205_ruby_26003.zip
033206	宝島	佐々木	直次郎	新字新仮名	NDC K933	https://www.aozora.gr.jp/cards/000888/files/33206_ruby_35590.zip
033224	親鸞	吉川	英治	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001562/files/33224_ruby_73833.zip
033227	松のや露八	吉川	英治	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001562/files/33227_ruby_61173.zip
033229	コドモノスケッチ帖	竹久	夢二	新字旧仮名	NDC K911	https://www.aozora.gr.jp/cards/000212/files/33229_ruby_19203.zip
042134	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42134_ruby_17086.zip
042135	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42135_ruby_17087.zip
042136	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42136_ruby_17088.zip
042137	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42137_txt_17089.zip
042138	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42138_ruby_17568.zip
042139	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42139_ruby_17569.zip
042140	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42140_ruby_17570.zip
042141	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42141_ruby_17571.zip
042142	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42142_ruby_17572.zip
042143	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42143_ruby_17610.zip
042144	貝殻追放	水上	滝太郎	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000800/files/42144_ruby_17611.zip
042145	今戸心中	広津	柳浪	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000295/files/42145_ruby_22356.zip
042146	道成寺（一幕劇）	郡	虎彦	新字新仮名	NDC 912	https://www.aozora.gr.jp/cards/001077/files/42146_ruby_20063.zip
042149	異国さかな雑談	浜田	青陵	旧字旧仮名	NDC 596 915	https://www.aozora.gr.jp/cards/001054/files/42149_ruby_15584.zip
042150	温泉雑記	浜田	青陵	旧字旧仮名	NDC 290 915	https://www.aozora.gr.jp/cards/001054/files/42150_txt_15586.zip
